ID,Title,Year,Database,Journal,demographic_relevance,demographic_relevance_label,demographic_relevance_variables,demographic_relevance_rationale
1,Comparison of succinylcholine with two doses of rocuronium using a new method of monitoring neuromuscular block at the laryngeal muscles by surface laryngeal electromyography.,2000,PubMed,British Journal of Anaesthesia,0,Demographic variables not part of the research question,,The study compares drug effects and monitoring methods without any demographic variables as part of the research question.
4,EMG-based prediction of shoulder and elbow kinematics in able-bodied and spinal cord injured individuals,2000,IEEE,IEEE Transactions on Rehabilitation Engineering,0,Demographic variables not part of the research question,,"The study compares able-bodied and spinal cord injured individuals, but spinal cord injury is a medical condition, not a demographic variable, and the primary objective is EMG-based kinematic prediction performance, not demographic differences."
6,Effects of body-mind training and relaxation stretching on persons with chronic toxic encephalopathy.,2000,PubMed,Patient Education and Counseling,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study focuses on the effects of body-mind training in patients with CTE; demographics are only reported as sample descriptors and not relevant to the research question.
8,Noninvasive estimation of motor unit conduction velocity distribution using linear electrode arrays,2000,IEEE,IEEE Transactions on Biomedical Engineering,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study focuses on signal processing methodology for EMG and does not address demographic variables in the research question.
10,Propagation disturbance of motor unit action potentials during transient paresis in generalized myotonia: a high-density surface EMG study.,2001,PubMed,Brain,0,Demographic variables not part of the research question,,"The study focuses on electrophysiological properties of muscle membrane in generalized myotonia patients, with no mention of demographic comparisons or restrictions."
11,Concentric-ring electrode systems for noninvasive detection of single motor unit activity,2001,IEEE,IEEE Transactions on Biomedical Engineering,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The study focuses on electrode design and signal processing, with no incorporation of demographic variables into the research question."
12,Facial electromyographic (EMG) responses to emotionally significant visual images: differences between light and heavy drinkers.,2001,PubMed,Drug and Alcohol Dependence,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The study compares light versus heavy drinkers based on alcohol consumption behavior, not demographic variables; no demographic variable is a primary exposure or comparison factor."
14,Anticipatory and reflexive neck muscle activities during voluntary rapid jaw opening and passive jaw depression in humans.,2002,PubMed,Journal of oral rehabilitation,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study investigates neck muscle activities during jaw movements without any demographic comparisons or restrictions.
16,Oscillatory cortical drive to isometrically contracting muscle in Unverricht-Lundborg type progressive myoclonus epilepsy (ULD).,2002,PubMed,Clinical neurophysiology,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The study compares ULD patients to healthy controls on neurophysiological measures, with no demographic comparisons or restrictions mentioned."
18,Prediction of joint moments using a neural network model of muscle activations from EMG signals,2002,IEEE,IEEE Transactions on Neural Systems and Rehabilitation Engineering,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,No demographic variables are mentioned; the study focuses on a neural network model for EMG-based joint moment prediction.
20,Motor unit recruitment strategies investigated by surface EMG variables.,2002,PubMed,Journal of Applied Physiology,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,No demographic variables are mentioned in the title or abstract; the study focuses on EMG signal analysis and motor unit recruitment.
22,Comparison of MRI with EMG to study muscle activity associated with dynamic plantar flexion.,2003,PubMed,Magnetic Resonance Imaging,0,Demographic variables not part of the research question,sex/gender,Demographics are not part of the research question; sex is only reported as part of group composition.
23,MR imaging in the differential diagnosis of neurogenic foot drop.,2003,PubMed,Journal of Clinical Electrophysiology and Wound Management,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The abstract and title focus on MR imaging for diagnosis of foot drop and do not mention any demographic variables as part of the research question or as primary comparisons.
25,Rapid neck muscle adaptation alters the head kinematics of aware and unaware subjects undergoing multiple whiplash-like perturbations.,2003,PubMed,Journal of biomechanics,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study focuses on habituation of neck muscles to perturbations; sex is only reported descriptively and not a central study objective.
26,A fast and reliable technique for muscle activity detection from surface EMG signals,2003,IEEE,IEEE Transactions on Biomedical Engineering,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study focuses on developing a signal processing technique for EMG activity detection; no demographic variables are part of the research question.
27,Fatigue analysis of the surface EMG signal in isometric constant force contractions using the averaged instantaneous frequency,2003,IEEE,IEEE Transactions on Biomedical Engineering,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The study focuses on a signal processing method for EMG, with no mention of demographic variables."
28,Neck muscle fatigue affects postural control in man.,2003,PubMed,Neuroscience,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study focuses on neck muscle fatigue and postural control in normal subjects without any demographic comparisons or restrictions.
30,Emotional effects of startling background music during reading news reports: The moderating influence of dispositional BIS and BAS sensitivities.,2004,PubMed,Scandinavian Journal of Psychology,0,Demographic variables not part of the research question,,"The study focuses on dispositional BIS/BAS sensitivities as moderators, with no demographic comparisons or restrictions beyond describing the sample as adult men and women."
32,MUAP number estimates in surface EMG: template-matching methods and their performance boundaries.,2004,PubMed,Annals of Biomedical Engineering,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study focuses on surface EMG signal processing and electrode performance without addressing any demographic variables.
33,Choosing EMG parameters: comparison of different onset determination algorithms and EMG integrals in a joint stability study.,2004,PubMed,Clinical Biomechanics,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The study focuses on comparing EMG onset algorithms and integrals, with no mention of demographic variables as part of the research question."
34,Muscle activity during patient transfers: a preliminary study on the influence of lift assists and experience.,2004,PubMed,Ergonomics,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The study compares novices and experienced patient handlers, but experience is not a demographic variable such as sex, age, race, or skin phenotype, so demographic variables are not part of the research question."
35,Maintenance of EMG activity and loss of force output with instability.,2004,PubMed,The Journal of Strength and Conditioning Research,0,Demographic variables not part of the research question,sex/gender,The study only specifies male subjects for homogeneity but does not examine demographic differences.
36,Design and implementation of a hands-free electrolarynx device controlled by neck strap muscle electromyographic activity.,2004,PubMed,"First International IEEE EMBS Conference on Neural Engineering, 2003. Conference Proceedings.",0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study evaluates device performance without any demographic comparisons or focus on demographic variables; demographics are not part of the research question.
37,Isometric shoulder muscle activation patterns for 3-D planar forces: a methodology for musculo-skeletal model validation.,2004,PubMed,Clinical Biomechanics,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The study focuses on a methodological approach for shoulder EMG recording and model validation, with no mention of demographic variables as exposures or eligibility criteria."
39,Neuro-fuzzy control of a robotic exoskeleton with EMG signals,2004,IEEE,IEEE Transactions on Fuzzy Systems,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The study focuses on EMG-based control of a robotic exoskeleton, with no demographic comparisons or central research questions involving demographic variables."
40,EMG recovery and ratings after back extensor fatigue in patients with lumbar disc herniation and healthy subjects.,2004,PubMed,European Journal of Applied Physiology,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The study compares patients with lumbar disc herniation to healthy subjects, focusing on clinical condition, not demographic variables."
41,Reduced plantar sensation causes a cautious walking pattern.,2004,PubMed,Gait &amp; Posture,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The study focuses on the effect of reduced plantar sensation on gait, and demographics are only described as sample characteristics, not part of the research question."
42,The role of laryngeal electromyography in vocal fold immobility.,2004,PubMed,ORL,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,No demographic variables are mentioned or used in the research question; the study focuses solely on diagnostic and prognostic utility of laryngeal EMG.
43,The influence of different unloading positions upon stature recovery and paraspinal muscle activity.,2005,PubMed,Clinical Biomechanics,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The study compares chronic low-back pain patients versus asymptomatic controls, with demographics only reported descriptively and not as a research focus."
44,Inhibition from the plantar nerve to soleus muscle during the stance phase of walking.,2005,PubMed,Brain Research,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study focuses on neural pathways and their modulation during walking without any demographic comparisons or restrictions.
45,Customized Interactive Robotic Treatment for Stroke: EMG-Triggered Therapy,2005,IEEE,"A system for electromyographic (EMG) triggering of robot-assisted therapy (dubbed the EMG game) for stroke patients is presented. The onset of a patient's attempt to move is detected by monitoring EMG in selected muscles, whereupon the robot assists her or him to perform point-to-point movements in a horizontal plane. Besides delivering customized robot-assisted therapy, the system can record signals that may be useful to better understand the process of recovery from stroke. Preliminary experiments aimed at testing the proposed system and gaining insight into the potential of EMG-triggered, robot-assisted therapy are reported.",0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The study focuses on neural mechanisms of anticipatory postural responses using TMS and EMG; demographic variables are not part of the research question, eligibility criteria, or comparisons."
46,Conduction velocity of quiescent muscle fibers decreases during sustained contraction.,2005,PubMed,Journal of Neurophysiology,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study focuses on muscle fiber conduction velocity during contraction without any demographic comparisons or restrictions; demographics are not part of the research question.
47,Rectus femoris surface myoelectric signal cross-talk during static contractions.,2005,PubMed,Journal of Electromyography and Kinesiology,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study investigates EMG cross-talk and does not involve demographic variables as part of the research question or comparisons.
50,Forward and backward arm cycling are regulated by equivalent neural mechanisms.,2005,PubMed,Journal of neurophysiology,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study focuses on neural mechanisms of arm cycling direction and does not investigate or control for demographic variables.
51,Preliminary communication: urodynamic assessment of donepezil hydrochloride in patients with Alzheimer's disease.,2005,PubMed,Neurourology and Urodynamics,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The abstract does not mention any demographic variables as part of the research question; it focuses solely on the drug's effect on lower urinary tract function in Alzheimer's patients.
53,The effects of unilateral muscle fatigue on bilateral physiological tremor.,2005,PubMed,Experimental Brain Research,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The study focuses on the physiological effects of muscle fatigue on tremor and EMG, with no investigation of demographic differences; demographics are not part of the research question."
55,Multiexpert automatic speech recognition using acoustic and myoelectric signals,2006,IEEE,IEEE Transactions on Biomedical Engineering,0,Demographic variables not part of the research question,,"The study focuses on combining acoustic and myoelectric signals for speech recognition, with no demographic variables as part of the research question."
56,Estimation of Motor Unit Conduction Velocity From Surface EMG Recordings by Signal-Based Selection of the Spatial Filters,2006,IEEE,IEEE Transactions on Biomedical Engineering,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study is a methodological investigation of a signal processing technique and does not involve demographic variables.
58,Stress-induced pain and muscle activity in patients with migraine and tension-type headache.,2006,PubMed,"Headache Clinics: Organization, Patients And Treatment",0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The abstract focuses on comparing migraine, tension-type headache, and control groups in pain and EMG responses to stress, with no mention of demographic variables as part of the research question."
59,A Real-Time EMG Pattern Recognition System Based on Linear-Nonlinear Feature Projection for a Multifunction Myoelectric Hand,2006,IEEE,IEEE Transactions on Biomedical Engineering,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The title and abstract focus solely on electromyogram pattern recognition and system implementation without any mention of demographic variables or comparisons.
63,Muscle fatigue during dynamic contractions assessed by new spectral indices.,2006,PubMed,Medicine &amp; Science in Sports &amp; Exercise,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study focuses on testing EMG spectral indices for muscle fatigue assessment without any mention of demographic variables as part of the research question.
65,Coactivation of the elbow antagonist muscles is not affected by the speed of movement in isokinetic exercise,2006,PubMed,Muscle &amp; Nerve,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The study focuses on muscle coactivation and velocity, with no demographic comparisons; participants are only described as twelve men, but sex is not a central objective."
66,Electromyographic analysis of joint-dependent global synkinesis in the upper limb of healthy adults: laterality of intensity and symmetry of spatial representation.,2006,PubMed,Journal of Electromyography and Kinesiology,0,Demographic variables not part of the research question,sex/gender; age,"Demographic variables are only mentioned descriptively in the sample; the research focuses on limb dominance and movement direction, not sex/gender or age comparisons."
67,A comparison of visual and mathematical detection of the electromyographic threshold during incremental pedaling exercise: a pilot study.,2006,PubMed,The Journal of Strength and Conditioning Research,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study compares mathematical and visual EMG threshold detection methods without any demographic variables as part of the research question.
68,Muscle synergies involved in preparation to a step made under the self-paced and reaction time instructions.,2006,PubMed,Clinical Neurophysiology,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study focuses on muscle synergies during step preparation in healthy persons without any demographic comparisons or restrictions.
70,A comparison of surface and intramuscular myoelectric signal classification.,2007,IEEE,IEEE Transactions on Biomedical Engineering,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study focuses on myoelectric signal classification and does not involve any demographic variables.
71,Electromyographic findings after different selective neck dissections.,2007,PubMed,The Laryngoscope,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The study objective compares surgical techniques and nerve preservation, not demographic differences; demographics are only descriptively reported."
72,Effects of electromyography biofeedback-assisted relaxation on pain in patients with advanced cancer in a palliative care unit.,2007,PubMed,Cancer Nursing,0,Demographic variables not part of the research question,sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The study evaluates an intervention's effect on pain without any demographic variables as primary exposures, comparisons, or central objectives."
