ID,Title,Year,Database,Journal,demographic_relevance,demographic_relevance_label,demographic_relevance_variables,demographic_relevance_rationale
5,Electromyogram changes during sustained contraction after resistance training in women in their 3rd and 8th decades.,2000,PubMed,European Journal of Applied Physiology,2,"Sex/gender, age, race/ethnicity, skin phenotype, or related physiological differences are primary exposures or comparison factors",sex/gender; age; race/ethnicity; skin phenotype; related physiology,"The study explicitly compares young vs older women, making age a central objective."
54,"The bilateral leg strength deficit is present in old, young and adolescent females during isokinetic knee extension and flexion.",2006,PubMed,European Journal of Applied Physiology,2,"Sex/gender, age, race/ethnicity, skin phenotype, or related physiological differences are primary exposures or comparison factors",age,"The study compares the bilateral limb deficit across adolescent, adult, and older females, making age a primary comparison factor."
60,Effect of age on anticipatory postural adjustments in unilateral arm movement.,2006,PubMed,Gait &amp; Posture,2,"Sex/gender, age, race/ethnicity, skin phenotype, or related physiological differences are primary exposures or comparison factors",age,"The study directly compares young and elderly subjects to examine the effect of aging on anticipatory postural adjustments, making age a primary exposure and central study objective."
95,Changes in muscle fascicles of tibialis anterior during anisometric contractions are not associated with motor-output variability of the ankle dorsiflexors in young and old adults.,2010,PubMed,European Journal of Applied Physiology,2,"Sex/gender, age, race/ethnicity, skin phenotype, or related physiological differences are primary exposures or comparison factors",age,"The study explicitly compares young and old adults as a primary comparison factor, examining age-related differences in muscle fascicle changes and motor-output variability."
123,"During step descent, older adults exhibit decreased knee range of motion and increased vastus lateralis muscle activity.",2012,PubMed,Gait & posture,2,"Sex/gender, age, race/ethnicity, skin phenotype, or related physiological differences are primary exposures or comparison factors",age,"The study explicitly compares older and younger adults as the central objective, making age a primary comparison factor."
132,Age-related changes in neuromuscular function of the quadriceps muscle in physically active adults.,2013,PubMed,Journal of Electromyography and Kinesiology,2,"Sex/gender, age, race/ethnicity, skin phenotype, or related physiological differences are primary exposures or comparison factors",age,"The study directly compares young and elderly volunteers to investigate age-related neural and muscular changes in the quadriceps, making age a primary exposure."
156,Heterogeneity of muscle activity during sedentary behavior.,2016,PubMed,"Applied Physiology, Nutrition, and Metabolism",2,"Sex/gender, age, race/ethnicity, skin phenotype, or related physiological differences are primary exposures or comparison factors",sex/gender; age; related physiology,"The study's main comparison is between normal weight and overweight individuals, a physiological difference, making it a central study objective."
194,Isometric-based EMG threshold in girls and women.,2020,PubMed,European Journal of Applied Physiology,2,"Sex/gender, age, race/ethnicity, skin phenotype, or related physiological differences are primary exposures or comparison factors",age,"The study explicitly compares EMG threshold between girls and women, making age-related physiological differences a primary comparison factor."
234,Comparing and characterizing scapular muscle activation ratios in males and females during execution of common functional movements.,2024,PubMed,PeerJ,2,"Sex/gender, age, race/ethnicity, skin phenotype, or related physiological differences are primary exposures or comparison factors",sex/gender,"The study purpose is to compare males and females, making sex/gender a primary comparison factor."
251,The Changes in Synergistic Patterns of Peri-Shoulder Muscles During Shoulder Abduction and Flexion in Patients With Rotator Cuff Tears,2025,IEEE,IEEE Transactions on Neural Systems and Rehabilitation Engineering,2,"Sex/gender, age, race/ethnicity, skin phenotype, or related physiological differences are primary exposures or comparison factors",sex/gender; age; race/ethnicity; skin phenotype; related physiology,"Age is a primary comparison factor as the study explicitly compares young controls, elderly controls, and elderly RCT patients to assess the influence of age on synergy patterns."
272,Can continuous physical training counteract aging effect on myoelectric fatigue? A surface electromyography study application.,2003,PubMed,Archives of physical medicine and rehabilitation,2,"Sex/gender, age, race/ethnicity, skin phenotype, or related physiological differences are primary exposures or comparison factors",age; sex/gender,"The study aims to compare myoelectric fatigue between young and elderly skiers, making age a primary exposure and central objective."
291,"Are there differences in performance, metabolism, and quadriceps muscle activity in black African and Caucasian athletes during brief intermittent and intense exercise?",2007,PubMed,The Journal of Physiological Sciences,2,"Sex/gender, age, race/ethnicity, skin phenotype, or related physiological differences are primary exposures or comparison factors",race/ethnicity,"The study explicitly compares performance, metabolism, and muscle activity between black African and Caucasian athletes as the primary objective."
371,A Novel Lower-Limb Coordination Assessment Scheme Using Multi-Scale Nonlinear Coupling Characteristics With sEMG,2023,IEEE,IEEE Transactions on Instrumentation and Measurement,2,"Sex/gender, age, race/ethnicity, skin phenotype, or related physiological differences are primary exposures or comparison factors",sex/gender,"The study explicitly compares male and female subjects to assess gender differences in motion coordination, making sex/gender a central comparison factor."
384,Comparative analysis of myoelectric activity and mandibular movement in healthy and nonpainful articular temporomandibular disorder subjects.,2024,PubMed,Clinical Oral Investigations,2,"Sex/gender, age, race/ethnicity, skin phenotype, or related physiological differences are primary exposures or comparison factors",sex/gender; age; race/ethnicity; skin phenotype; related physiology,The study explicitly aims to compare sex differences in sEMG and mandibular kinematics as a primary objective.
